id,llave,proveedor,pedido,requisicion,lote,clave,descripcion,marca,unidad,cantidad,precio,tipo,cause,controlado
14,P-16-0001|disur|14,disur,P-16-0001,299,14,010.000.0254.00,VECURONIO SOLUCIÓN INYECTABLE. Cada frasco ámpula con liofilizado contiene: Bromuro de vecuronio 4 mg. Envase con 50 frascos ámpula y 50 ampolletas con 1 ml. de diluyente (4 mg. /ml.).,GENERICO,Envase,1,745.06,1,1,1
15,P-16-0001|disur|15,disur,P-16-0001,299,15,010.000.0260.02,LIDOCAÍNA GEL. Cada ml. contiene: Clorhidrato de lidocaína 20 mg. Envase con 30 ml.,GENERICO,Envase,1,89.29,1,1,0
16,P-16-0001|disur|16,disur,P-16-0001,299,16,010.000.0261.00,LIDOCAÍNA SOLUCIÓN INYECTABLE AL 1%. Cada frasco ámpula contiene: Clorhidrato de lidocaína 500 mg. Envase con 5 frascos ámpula de 50 ml.,GENERICO,Envase,1,74.12,1,1,0
17,P-16-0001|disur|17,disur,P-16-0001,299,17,010.000.0262.00,LIDOCAÍNA SOLUCIÓN INYECTABLE AL 2%. Cada frasco ámpula contiene: Clorhidrato de lidocaína 1g. Envase con 5 frascos ámpula con 50 ml.,GENERICO,Envase,1,78.69,1,1,0
18,P-16-0001|disur|18,disur,P-16-0001,299,18,010.000.0263.00,LIDOCAÍNA SOLUCIÓN INYECTABLE AL 5%. Cada ampolleta contiene: Clorhidrato de lidocaína 100 mg. Glucosa monohidratada 150 mg. Envase con 50 ampolletas con 2 ml.,GENERICO,Envase,1,215.55,1,1,0
19,P-16-0001|disur|19,disur,P-16-0001,299,19,010.000.0264.00,LIDOCAÍNA SOLUCIÓN AL 10%. Cada 100 ml. contiene: Lidocaína 10.0 g. Envase con 115 ml. con atomizador manual.,GENERICO,Envase,1,81.76,1,1,0
20,P-16-0001|disur|20,disur,P-16-0001,299,20,010.000.0265.00,"LIDOCAÍNA, EPINEFRINA SOLUCIÓN INYECTABLE AL 2%. Cada frasco ámpula contiene: Clorhidrato de lidocaína 1 g. Epinefrina (1:200000) 0.25 mg. Envase con 5 frascos ámpula con 50 ml.",GENERICO,Envase,1,96.17,1,1,0
21,P-16-0001|disur|21,disur,P-16-0001,299,21,010.000.0267.00,"LIDOCAÍNA, EPINEFRINA SOLUCIÓN INYECTABLE AL 2%. Cada cartucho dental contiene: Clorhidrato de lidocaína 36 mg. Epinefrina (1:100000) 0.018 mg. Envase con 50 cartuchos dentales con 1.8 ml.",GENERICO,Envase,1,77.53,1,1,0
22,P-16-0001|disur|22,disur,P-16-0001,299,22,010.000.0269.00,ROPIVACAÍNA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Clorhidrato de ropivacaína monohidratada equivalente a 40 mg. de clorhidrato de ropivacaína. Envase con 5 ampolletas con 20 ml.,GENERICO,Envase,1,335.04,1,1,1
23,P-16-0001|disur|23,disur,P-16-0001,299,23,010.000.0271.00,BUPIVACAÍNA SOLUCIÓN INYECTABLE. Cada ml. contiene: Clorhidrato de bupivacaína 5 mg. Envase con 30 ml.,GENERICO,Envase,1,41.77,1,1,1
24,P-16-0001|disur|24,disur,P-16-0001,299,24,010.000.0291.00,NEOSTIGMINA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Metilsulfato de neostigmina 0.5 mg. Envase con 6 ampolletas con 1 ml.,GENERICO,Envase,1,78.77,1,1,0
25,P-16-0001|disur|25,disur,P-16-0001,299,25,010.000.0402.00,CLORFENAMINA TABLETA. Cada tableta contiene: Maleato de clorfenamina 4.0 mg. Envase con 20 tabletas.,GENERICO,Envase,1,2.31,1,1,0
26,P-16-0001|disur|26,disur,P-16-0001,299,26,010.000.0405.00,DIFENHIDRAMINA JARABE. Cada 100 mililitros contienen: Clorhidrato de difenhidramina 250 mg. Envase con 60 ml.,GENERICO,Envase,1,2.49,1,1,0
27,P-16-0001|disur|27,disur,P-16-0001,299,27,010.000.0406.00,DIFENHIDRAMINA SOLUCIÓN INYECTABLE. Cada frasco ámpula contiene: Clorhidrato de difenhidramina 100 mg. Envase con frasco ámpula de 10 ml.,GENERICO,Envase,1,14.13,1,1,0
28,P-16-0001|disur|28,disur,P-16-0001,299,28,010.000.0408.00,CLORFENAMINA JARABE. Cada mililitro contiene: Maleato de clorfenamina 0.5 mg. Envase con 60 ml.,GENERICO,Envase,1,3.31,1,1,0
29,P-16-0001|disur|29,disur,P-16-0001,299,29,010.000.0426.00,AMINOFILINA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Aminofilina 250 mg. Envase con 5 ampolletas de 10 ml.,GENERICO,Envase,1,17.54,1,1,0
30,P-16-0001|disur|30,disur,P-16-0001,299,30,010.000.0429.00,SALBUTAMOL SUSPENSIÓN EN AEROSOL. Cada inhalador contiene: Salbutamol 20 mg. o Sulfato de salbutamol equivalente a 20 mg. de salbutamol. Envase con,GENERICO,Envase,1,15.35,1,1,0
31,P-16-0001|disur|31,disur,P-16-0001,299,31,010.000.0431.00,SALBUTAMOL JARABE. Cada 5 ml. contienen: Sulfato de salbutamol equivalente a 2 mg. de salbutamol. Envase con 60 ml.,GENERICO,Envase,1,2.89,1,1,0
32,P-16-0001|disur|32,disur,P-16-0001,299,32,010.000.0432.00,TERBUTALINA SOLUCIÓN INYECTABLE. Cada ml. contiene: Sulfato de terbutalina 0.25 mg. Envase con 3 ampolletas.,GENERICO,Envase,1,17.41,1,1,0
33,P-16-0001|disur|33,disur,P-16-0001,299,33,010.000.0433.00,TERBUTALINA TABLETA. Cada tableta contiene: Sulfato de terbutalina 5 mg. Envase con 20 tabletas.,GENERICO,Envase,1,18.89,1,1,0
34,P-16-0001|disur|34,disur,P-16-0001,299,34,010.000.0437.00,"TEOFILINA COMPRIMIDO O TABLETA O CÁPSULA DE LIBERACIÓN PROLONGADA. Cada comprimido, tableta o cápsula contiene: Teofilina anhidra 100 mg. Envase con 20 comprimidos o tabletas o cápsulas de liberación",GENERICO,Envase,1,19.63,1,1,0
35,P-16-0001|disur|35,disur,P-16-0001,299,35,010.000.0438.00,TERBUTALINA POLVO. Cada dosis contiene: Sulfato de terbutalina 0.5 mg. Envase con inhalador para 200 dosis.,BRICANYL,Envase,1,156.44,1,1,0
36,P-16-0001|disur|36,disur,P-16-0001,299,36,010.000.0439.00,SALBUTAMOL SOLUCIÓN PARA NEBULIZADOR. Cada 100 ml. contienen: Sulfato de salbutamol 0.5 g. Envase con 10 ml.,GENERICO,Envase,1,26.16,1,1,0
37,P-16-0001|disur|37,disur,P-16-0001,299,37,010.000.0443.00,"SALMETEROL, FLUTICASONA SUSPENSIÓN EN AEROSOL. Cada gramo contiene: Xinafoato de salmeterol equivalente a 0.33 mg. de salmeterol",GENERICO,Envase,1,214.04,1,1,0
38,P-16-0001|disur|38,disur,P-16-0001,299,38,010.000.0464.00,CROMOGLICATO DE SODIO SUSPENSIÓN AEROSOL. Cada inhalador contiene: Cromoglicato disódico 560 mg. Envase con espaciador para 112 dosis de 5 mg.,GENERICO,Envase,1,104.66,1,1,0
39,P-16-0001|disur|39,disur,P-16-0001,299,39,010.000.0472.00,PREDNISONA TABLETA. Cada tableta contiene: Prednisona 5 mg. Envase con 20 tabletas.,GENERICO,Envase,1,6.17,1,1,0
40,P-16-0001|disur|40,disur,P-16-0001,299,40,010.000.0473.00,PREDNISONA TABLETA. Cada tableta contiene: Prednisona 50 mg. Envase con 20 tabletas.,GENERICO,Envase,1,23.83,1,1,0
41,P-16-0001|disur|41,disur,P-16-0001,299,41,010.000.0474.00,HIDROCORTISONA SOLUCIÓN INYECTABLE. Cada frasco ámpula contiene: Succinato sódico de hidrocortisona equivalente a 100 mg. de hidrocortisona. Envase con 50,GENERICO,Envase,1,530,1,1,0
42,P-16-0001|disur|42,disur,P-16-0001,299,42,010.000.0476.00,METILPREDNISOLONA SOLUCIÓN INYECTABLE. Cada frasco ámpula con liofilizado contiene: Succinato sódico de metilprednisolona equivalente a 500 mg. de metilprednisolona. Envase con 50 frascos ámpula y 50 ampolletas con 8 ml. de diluyente.,GENERICO,Envase,1,3650,1,1,0
43,P-16-0001|disur|43,disur,P-16-0001,299,43,010.000.0477.00,"DIPROPIONATO DE BECLOMETASONA, SUSPENSIÓN EN AEROSOL. Cada inhalador contiene: Dipropionato de beclometasona 10 mg. Envase con inhalador con 200",GENERICO,Envase,1,35.5,1,1,0
44,P-16-0001|disur|44,disur,P-16-0001,299,44,010.000.0502.00,DIGOXINA TABLETA. Cada tableta contiene: Digoxina 0.25 mg. Envase con 20 tabletas.,GENERICO,Envase,1,5.04,1,1,0
45,P-16-0001|disur|45,disur,P-16-0001,299,45,010.000.0503.00,DIGOXINA ELÍXIR. Cada ml. contiene: Digoxina 0.05 mg. Envase conteniendo 60 ml. con gotero calibrado de 1 ml. integrado o adjunto al frasco y le sirve de tapa.,GENERICO,Envase,1,124.96,1,1,0
46,P-16-0001|disur|46,disur,P-16-0001,299,46,010.000.0504.00,DIGOXINA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Digoxina 0.5 mg. Envase con 6 ampolletas de 2 ml.,GENERICO,Envase,1,56.81,1,1,0
47,P-16-0001|disur|47,disur,P-16-0001,299,47,010.000.0514.00,PARACETAMOL SUPOSITORIO. Cada supositorio contiene: Paracetamol 100 mg.,GENERICO,Envase con 3 supositorios.,1,4.31,1,1,0
48,P-16-0001|disur|48,disur,P-16-0001,299,48,010.000.0514.01,PARACETAMOL SUPOSITORIO. Cada supositorio contiene: Paracetamol 100 mg.,GENERICO,Envase con 6 supositorios,1,13.25,1,1,0
49,P-16-0001|disur|49,disur,P-16-0001,299,49,010.000.0514.02,PARACETAMOL SUPOSITORIO. Cada supositorio contiene: Paracetamol 100 mg.,TEMPRA ,Envase con 10 supositorios,1,24.73,1,1,0
50,P-16-0001|disur|50,disur,P-16-0001,299,50,010.000.0522.00,LIDOCAÍNA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Clorhidrato de lidocaína 100 mg. Envase con 1 ampolleta de 5 ml.,GENERICO,Envase,1,80,1,1,0
51,P-16-0001|disur|51,disur,P-16-0001,299,51,010.000.0524.00,"CLORURO DE POTASIO SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Cloruro de potasio 1.49 g. (20 mEq de potasio, 20 mEq de cloro). Envase con 50 ampolletas",GENERICO,Envase,1,82.74,1,1,0
52,P-16-0001|disur|52,disur,P-16-0001,299,52,010.000.0525.00,FENITOÍNA TABLETA O CÁPSULA. Cada tableta o cápsula contiene: Fenitoína sódica 100 mg. Envase con 50 tabletas o cápsulas.,GENERICO,Envase,1,8.58,1,1,0
53,P-16-0001|disur|53,disur,P-16-0001,299,53,010.000.0530.00,PROPRANOLOL TABLETA. Cada tableta contiene: Clorhidrato de propranolol 40 mg. Envase con 30 tabletas.,GENERICO,Envase,1,5.29,1,1,0
54,P-16-0001|disur|54,disur,P-16-0001,299,54,010.000.0539.00,PROPRANOLOL TABLETA. Cada tableta contiene: Clorhidrato de propranolol 10 mg. Envase con 30 tabletas.,GENERICO,Envase,1,14.43,1,1,0
55,P-16-0001|disur|55,disur,P-16-0001,299,55,010.000.0561.00,CLORTALIDONA TABLETA. Cada tableta contiene: Clortalidona 50 mg. Envase con 20 tabletas.,GENERICO,Envase,1,4.6,1,1,0
56,P-16-0001|disur|56,disur,P-16-0001,299,56,010.000.0566.00,METILDOPA TABLETA. Cada tableta contiene: Metildopa 250 mg. Envase con 30 tabletas.,GENERICO,Envase,1,11.64,1,1,0
57,P-16-0001|disur|57,disur,P-16-0001,299,57,010.000.0569.00,NITROPRUSIATO DE SODIO SOLUCIÓN INYECTABLE. Cada frasco ámpula con polvo o solución contiene: Nitroprusiato de sodio 50 mg. Envase con un frasco ámpula con o sin diluyente.,GENERICO,Envase,1,329.73,1,1,0
58,P-16-0001|disur|58,disur,P-16-0001,299,58,010.000.0570.00,HIDRALAZINA TABLETA. Cada tableta contiene: Clorhidrato de hidralazina 10 mg. Envase con 20 tabletas.,GENERICO,Envase,1,7.13,1,1,0
59,P-16-0001|disur|59,disur,P-16-0001,299,59,010.000.0572.00,METOPROLOL TABLETA. Cada tableta contiene: Tartrato de metoprolol 100 mg. Envase con 20 tabletas.,GENERICO,Envase,1,4.5,1,1,0
60,P-16-0001|disur|60,disur,P-16-0001,299,60,010.000.0574.00,CAPTOPRIL TABLETA. Cada tableta contiene: Captopril 25 mg. Envase con 30 tabletas.,GENERICO,Envase,1,3.05,1,1,0
61,P-16-0001|disur|61,disur,P-16-0001,299,61,010.000.0591.00,TRINITRATO DE GLICERILO CÁPSULA O TABLETA MASTICABLE. Cada cápsula o tableta masticable contiene: Trinitrato de glicerol 0.8 mg. Envase con 24 cápsulas o tabletas masticables.,ANGLIX,Envase,1,122.13,1,1,0
62,P-16-0001|disur|62,disur,P-16-0001,299,62,010.000.0592.00,ISOSORBIDA TABLETA SUBLINGUAL. Cada tableta contiene: Dinitrato de isosorbida 5 mg. Envase con 20 tabletas sublinguales.,GENERICO,Envase,1,18.58,1,1,0
63,P-16-0001|disur|63,disur,P-16-0001,299,63,010.000.0593.00,ISOSORBIDA TABLETA. Cada tableta contiene: Dinitrato de isosorbida 10 mg. Envase con 20 tabletas.,GENERICO,Envase,1,4.03,1,1,0
64,P-16-0001|disur|64,disur,P-16-0001,299,64,010.000.0596.00,VERAPAMILO GRAGEA O TABLETA RECUBIERTA. Cada gragea o tableta recubierta contiene: Clorhidrato de verapamilo 80 mg. Envase con 20 grageas o tabletas recubiertas.,GENERICO,Envase,1,6.92,1,1,0
65,P-16-0001|disur|65,disur,P-16-0001,299,65,010.000.0597.00,NIFEDIPINO CÁPSULA DE GELATINA BLANDA. Cada cápsula contiene: Nifedipino 10 mg. Envase con 20 cápsulas.,GENERICO,Envase,1,3.45,1,1,0
66,P-16-0001|disur|66,disur,P-16-0001,299,66,010.000.0598.00,VERAPAMILO SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Clorhidrato de verapamilo 5mg. Envase con 2 ml. (2.5 mg. / ml.).,GENERICO,Envase,1,14.18,1,1,0
67,P-16-0001|disur|67,disur,P-16-0001,299,67,010.000.0599.00,NIFEDIPINO COMPRIMIDO DE LIBERACIÓN PROLONGADA. Cada comprimido contiene: Nifedipino 30 mg. Envase con 30 comprimidos.,GENERICO,Envase,1,19.45,1,1,0
68,P-16-0001|disur|68,disur,P-16-0001,299,68,010.000.0611.00,EPINEFRINA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Epinefrina 1 mg. (1:1 000) Envase con 50 ampolletas con 1 ml.,GENERICO,Envase,1,196.2,1,1,0
69,P-16-0001|disur|69,disur,P-16-0001,299,69,010.000.0614.00,DOPAMINA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Clorhidrato de dopamina 200 mg. Envase con 5 ampolletas con 5 ml.,GENERICO,Envase,1,23.76,1,1,0
70,P-16-0001|disur|70,disur,P-16-0001,299,70,010.000.0615.00,DOBUTAMINA SOLUCIÓN INYECTABLE. Cada frasco ámpula o ampolleta contiene: Clorhidrato de dobutamina equivalente a 250 mg. de dobutamina. Envase con 5 ampolletas con 5 ml. Cada una o con un frasco ámpula con 20 ml.,GENERICO,Envase,1,23.14,1,1,0
71,P-16-0001|disur|71,disur,P-16-0001,299,71,010.000.0621.00,HEPARINA SOLUCIÓN INYECTABLE. Cada frasco ámpula contiene: Heparina sódica equivalente a 10 000 UI de heparina. Envase con 50 frascos ámpula con 10 ml.,GENERICO,Envase,1,945,1,1,0
72,P-16-0001|disur|72,disur,P-16-0001,299,72,010.000.0622.00,HEPARINA SOLUCIÓN INYECTABLE. Cada frasco ámpula contiene: Heparina sódica equivalente a 25 000 UI de heparina. Envase con 50 frascos ámpula con 5 ml. (5 000,GENERICO,Envase,1,1760,1,1,0
73,P-16-0001|disur|73,disur,P-16-0001,299,73,010.000.0623.00,WARFARINA TABLETA. Cada tableta contiene: Warfarina sódica 5 mg. Envase con 25 tabletas.,GENERICO,Envase,1,25.22,1,1,0
74,P-16-0001|disur|74,disur,P-16-0001,299,74,010.000.0624.00,ACENOCUMAROL TABLETA. Cada tableta contiene: Acenocumarol 4 mg. Envase con 20 tabletas.,GENERICO,Envase,1,14.36,1,1,0
75,P-16-0001|disur|75,disur,P-16-0001,299,75,010.000.0624.01,ACENOCUMAROL TABLETA. Cada tableta contiene: Acenocumarol 4 mg. Envase con 30 tabletas.,GENERICO,Envase,1,21.54,1,1,0
76,P-16-0001|disur|76,disur,P-16-0001,299,76,010.000.0641.00,DEXTRÁN SOLUCIÓN INYECTABLE AL 10%. Cada 100 mililitros contienen: DextrÁn (40 000): 10 g. Glucosa 5 g. Envase con 500 ml.,GENERICO,Envase,1,241.7,1,1,0
77,P-16-0001|disur|77,disur,P-16-0001,299,77,010.000.0655.00,BEZAFIBRATO TABLETA. Cada tableta contiene: Bezafibrato 200 mg. Envase con 30 tabletas.,GENERICO,Envase,1,7.99,1,1,0
78,P-16-0001|disur|78,disur,P-16-0001,299,78,010.000.0657.00,PRAVASTATINA TABLETA. Cada tableta contiene: Pravastatina sódica 10 mg. Envase con 30 tabletas.,GENERICO,Envase,1,8.53,1,1,0
79,P-16-0001|disur|79,disur,P-16-0001,299,79,010.000.0801.00,BAÑO COLOIDE POLVO. Cada gramo contiene: Harina de soya 965 mg. (contenido proteico 45%) polividona 20 mg. Envase con uno sobre individual de 90 g.,GENERICO,Envase,1,9.12,1,1,0
80,P-16-0001|disur|80,disur,P-16-0001,299,80,010.000.0801.01,BAÑO COLOIDE POLVO. Cada gramo contiene: Harina de soya 965 mg. (contenido proteico 45%) polividona 20 mg. Envase con dos sobres individuales de 90 g.,GENERICO,Envase,1,17.78,1,1,0
81,P-16-0001|disur|81,disur,P-16-0001,299,81,010.000.0804.00,ÓXIDO DE ZINC PASTA. Cada 100 g. contienen: Óxido de zinc 25. 0 g. Envase con 30 g.,GENERICO,Envase,1,5.15,1,1,0
82,P-16-0001|disur|82,disur,P-16-0001,299,82,010.000.0813.00,HIDROCORTISONA CREMA. Cada g. contiene: 17 Butirato de hidrocortisona 1 mg. Envase con 15 g.,GENERICO,Envase,1,20.44,1,1,0
83,P-16-0001|disur|83,disur,P-16-0001,299,83,010.000.0822.00,BENZOILO LOCIÓN DÉRMICA O GEL DÉRMICO. Cada 100 mililitros o gramos contienen: Peróxido de benzoilo 5 g. Envase con 30 ml.,GENERICO,Envase,1,13.57,1,1,0
84,P-16-0001|disur|84,disur,P-16-0001,299,84,010.000.0822.01,BENZOILO LOCIÓN DÉRMICA O GEL DÉRMICO. Cada 100 mililitros o gramos contienen: Peróxido de benzoilo 5 g. Envase con 50 ml.,GENERICO,Envase,1,22.62,1,1,0
85,P-16-0001|disur|85,disur,P-16-0001,299,85,010.000.0822.02,BENZOILO LOCIÓN DÉRMICA O GEL DÉRMICO. Cada 100 mililitros o gramos contienen: Peróxido de benzoilo 5 g. Envase con 60 g.,GENERICO,Envase,1,27.14,1,1,0
86,P-16-0001|disur|86,disur,P-16-0001,299,86,010.000.0831.00,ALANTOINA Y ALQUITRÁN DE HULLA SUSPENSIÓN DÉRMICA. Cada ml. contiene: Alantoína 20.0 mg. Alquitrán de hulla 9.4 mg. Envase con 120 ml.,GENERICO,Envase,1,26.3,1,1,0
87,P-16-0001|disur|87,disur,P-16-0001,299,87,010.000.0861.00,BENCILO EMULSIÓN DÉRMICA. Cada ml. contiene: Benzoato de bencilo 300 mg. Envase con 120 ml.,GENERICO,Envase,1,12.14,1,1,0
88,P-16-0001|disur|88,disur,P-16-0001,299,88,010.000.0865.00,PERMETRINA SOLUCIÓN. Cada 100 ml. contienen: Permetrina 1 g. Envase con 110 ml.,SCABISAN,Envase,1,90.14,1,1,0
89,P-16-0001|disur|89,disur,P-16-0001,299,89,010.000.0871.00,ALIBOUR POLVO. Cada gramo contiene: Sulfato de Cobre 177.0 mg. Sulfato de Zinc 619.5 mg. Alcanfor 26.5 mg. Envase con 12 sobres con 2.2 g.,GENERICO,Envase,1,9.56,1,1,0
90,P-16-0001|disur|90,disur,P-16-0001,299,90,010.000.0872.00,CLIOQUINOL CREMA. Cada g. contiene: Clioquinol 30 mg. Envase con 20 g.,GENERICO,Envase,1,5.04,1,1,0
91,P-16-0001|disur|91,disur,P-16-0001,299,91,010.000.0891.00,MICONAZOL CREMA. Cada gramo contiene: Nitrato de miconazol 20 mg. Envase con 20 g.,GENERICO,Envase,1,5,1,1,0
92,P-16-0001|disur|92,disur,P-16-0001,299,92,010.000.0901.00,PODOFILINA SOLUCIÓN DÉRMICA. Cada ml. contiene: Resina de podofilina 250 mg. Envase con 5 ml.,GENERICO,Envase,1,117.14,1,1,0
93,P-16-0001|disur|93,disur,P-16-0001,299,93,010.000.0904.00,ÁCIDO RETINOICO CREMA. Cada 100 gramos contienen: Ácido retinoico 0.05 g. Envase con 20 g.,GENERICO,Envase,1,5.29,1,1,0
94,P-16-0001|disur|94,disur,P-16-0001,299,94,010.000.0906.00,DAPSONA TABLETA. Cada tableta contiene: Dapsona 100 mg. Envase con 1000 tabletas,GENERICO,Envase,1,2496,1,1,0
95,P-16-0001|disur|95,disur,P-16-0001,299,95,010.000.1006.00,CALCIO COMPRIMIDO EFERVESCENTE. Cada comprimido contiene: Lactato gluconato de calcio 2.94 g. carbonato de calcio 300 mg. equivalente a 500 mg. de calcio ionizable. Envase con 12 comprimidos.,GENERICO,Envase,1,13.4,1,1,0
96,P-16-0001|disur|96,disur,P-16-0001,299,96,010.000.1007.00,LEVOTIROXINA TABLETA. Cada tableta contiene: Levotiroxina sódica equivalente a 100 µg de levotiroxina sódica anhidra. Envase con 100 tabletas.,GENERICO,Envase,1,16.47,1,1,0
97,P-16-0001|disur|97,disur,P-16-0001,299,97,010.000.1022.00,TIAMAZOL TABLETA. Cada tableta contiene: Tiamazol 5 mg. Envase con 20 tabletas.,GENERICO,Envase,1,12.08,1,1,0
98,P-16-0001|disur|98,disur,P-16-0001,299,98,010.000.1042.00,GLIBENCLAMIDA TABLETA. Cada tableta contiene: Glibenclamida 5 mg. Envase con 50 tabletas.,GENERICO,Envase,1,2.65,1,1,0
99,P-16-0001|disur|99,disur,P-16-0001,299,99,010.000.1050.00,INSULINA HUMANA SUSPENSIÓN INYECTABLE ACCIÓN INTERMEDIA NPH. Cada ml. contiene: Insulina humana isofana (origen ADN recombinante) 100 UI o Insulina zinc isÓfana humana (origen ADN recombinante) 100 UI Envase con un frasco ámpula con 5 ml.,GENERICO,Envase,1,15.05,1,1,0
100,P-16-0001|disur|100,disur,P-16-0001,299,100,010.000.1050.01,INSULINA HUMANA SUSPENSIÓN INYECTABLE ACCIÓN INTERMEDIA NPH. Cada ml. contiene: Insulina humana isofana (origen ADN recombinante) 100 UI o Insulina zinc isÓfana humana (origen ADN recombinante) 100 UI Envase con un frasco ámpula con 10 ml.,GENERICO,Envase,1,30.09,1,1,0
101,P-16-0001|disur|101,disur,P-16-0001,299,101,010.000.1051.00,INSULINA HUMANA SOLUCIÓN INYECTABLE ACCIÓN RÁPIDA REGULAR. Cada ml. contiene: Insulina humana (origen ADN recombinante) 100 UI o Insulina zinc isÓfana humana (origen ADN recombinante) 100 UI Envase con un frasco ámpula con 5 ml.,GENERICO,Envase,1,27.11,1,1,0
102,P-16-0001|disur|102,disur,P-16-0001,299,102,010.000.1051.01,INSULINA HUMANA SOLUCIÓN INYECTABLE ACCIÓN RÁPIDA REGULAR. Cada ml. contiene: Insulina humana (origen ADN recombinante) 100 UI o Insulina zinc isÓfana humana (origen ADN recombinante) 100 UI Envase con un frasco ámpula con 10ml.,GENERICO,Envase,1,27.58,1,1,0
103,P-16-0001|disur|103,disur,P-16-0001,299,103,010.000.1093.00,DANAZOL CÁPSULA O COMPRIMIDO. Cada cápsula o comprimido contiene: Danazol 100 mg. Envase con 50 cápsulas o comprimidos.,GENERICO,Envase,1,88.64,1,1,0
104,P-16-0001|disur|104,disur,P-16-0001,299,104,010.000.1095.00,CALCITRIOL CÁPSULA DE GELATINA BLANDA. Cada cápsula contiene: Calcitriol 0.25 4g. Envase con 50 cápsulas.,GENERICO,Envase,1,11.27,1,1,0
