clues,clues_nombre,jurisdiccion,caravana_region,municipio,localidad,tipologia,empresa_clave,tipo_clues,empresa_nombre,director_unidad,administrador,encargado_almacen,coordinador_comision_abasto,lugar_entrega,lista_base_id,created_at,updated_at
CSSSA018776,HOSPITAL DE LA MUJER COMITÁN,3,NULL,COMITÁN DE DOMÍNGUEZ,COMITÁN DE DOMÍNGUEZ,"HOSPITAL GENERAL
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR. FRANCISCO JAVIER TREJO ESQUINCA,LIC. GLORIA AMPARO GUILLEN DE LA VEGA,ING. HECTOR EDUARDO SANCHEZ MATAMOROS,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN DEL HOSPITAL DE LA MUJER COMITAN,NULL,NULL,NULL
CSSSA005773,HOSPITAL DE LA MUJER SAN CRISTÓBAL DE LAS CASAS,2,NULL,SAN CRISTÓBAL DE LAS CASAS,SAN CRISTÓBAL DE LAS CASAS,"HOSPITAL GENERAL
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR. FRANCISCO ARTURO MARISCAL OCHOA,LIC. ROGER ULISES MOLINA ROSALES,LIC. CARLOS ALBERTO COSTA GORDILLO,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,SAN CRISTOBAL DE LAS CASAS; CHIAPAS,NULL,NULL,NULL
CSSSA001030,HOSPITAL GENERAL MARÍA IGNACIA GANDULFO COMITAN,3,NULL,COMITÁN DE DOMÍNGUEZ,COMITÁN DE DOMÍNGUEZ,"HOSPITAL GENERAL
",exfarma,3,"EXFARMA, S.A. DE C.V.",Dr. Jorge Antonio Yañez Fuentes,C.P. Karla Morales Guillen,C.P. Alejandra Guadalupe Gonzalez De Paz,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Hospital General María Ignacia Gandulfo,NULL,NULL,NULL
CSSSA018764,HOSPITAL DE LAS CULTURAS SAN CRISTOBAL DE LAS CASAS,2,NULL,SAN CRISTÓBAL DE LAS CASAS,SAN CRISTÓBAL DE LAS CASAS,"HOSPITAL GENERAL
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR. MARCO ANTONIO FLORES PEREZ,CP. DANIEL ALEJANDRO JIMENEZ LOPEZ,LIC. ROCIO DEL CARMEN SANCHEZ PÉREZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,"HOSPITAL DE LAS CULTURAS, SAN CRISTOBAL DE LAS CASAS.",NULL,NULL,NULL
CSSSA018752,H. B. C. DE TEOPISCA,2,NULL,TEOPISCA,TEOPISCA,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR. DARVIN ALBERTO RODRIGUEZ MORALES,LIC. LEONARDO FABIAN VALDEZ MORENO,LIC. NALDI ALFARO PEREZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,HOSPITAL BÁSICO COMUNITARIO TEOPISCA,NULL,NULL,NULL
CSSSA005020,PIJIJIAPAN,8,NULL,PIJIJIAPAN,PIJIJIAPAN,"CENTRO DE SALUD CON HOSPITALIZACIÓN
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000045,H. B. C. DR. MANUEL VELASCO SUAREZ ACALA,1,NULL,ACALA,ACALA,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",DRA. NOEMI HERNÁNDEZ PÉREZ,TERESA DE JÉSUS RAMÍREZ,OCTAVIO VALSECA PINTO,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACÉN DEL HOSPITAL ACALA,NULL,NULL,NULL
CSSSA018740,H. B. C.  DR. RAFAEL ALFARO GONZÁLEZ PIJIJIAPAN,8,NULL,PIJIJIAPAN,PIJIJIAPAN,"HOSPITAL INTEGRAL (COMUNITARIO)
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",Dr Pedro Hugo Ibarra Campero,Cp.Patricia Maria Velazquez Gutierrez,LAE. Antonio de Jesus Martinez Hernandez,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacén del Hospital Basico Comunitario de Pijijiapan,NULL,NULL,NULL
CSSSA000832,H. B. C. DE CINTALAPA DE FIGUEROA,1,NULL,CINTALAPA,CINTALAPA DE FIGUEROA,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",Dr. Ramdoll Iván Hernández Rodriguez,C.P. Zoila del Carmen Pitalua Alcantar,Lic José de Jesús Salinas Santiago,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen de HBC Cintalapa,NULL,NULL,NULL
CSSSA017336,ALMACÉN JURISDICCIONAL (TUXTLA GUTIÉRREZ),1,NULL,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,"ALMACENES
",exfarma,2,"EXFARMA, S.A. DE C.V.",DR. FLORENTINO ORLANDO GARCIA MORALES,CP. MANUEL GOMEZ ESPINOSA,ING. BERENICE ARNAEZ LAZARO,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN JURISDICCIONAL TUXTLA GUTIERREZ,NULL,NULL,NULL
CSSSA017406,ALMACÉN JURISDICCIONAL (TONALÁ),8,NULL,TONALÁ,TONALÁ,"ALMACENES
",disur,2,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DIRECTOR: DR. ALFREDO COUTIÑO MENDEZ,ADMINISTRADOR: LAE. HECTOR ISAAC PENAGOS SANTIAGO,ENCARGADO: RAUL BALCAZAR HERNANDEZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN JURISDICCIONAL TONALA,NULL,NULL,NULL
CSSSA017341,ALMACÉN JURISDICCIONAL (SAN CRISTÓBAL DE LAS CASAS),2,NULL,SAN CRISTÓBAL DE LAS CASAS,SAN CRISTÓBAL DE LAS CASAS,"ALMACENES
",exfarma,2,"EXFARMA, S.A. DE C.V.",DR. OCTAVIO ALBERTO COUTIÑO NIÑO,LIC. RAFAEL MONTERO CASTILLA,C.P. JESUS GUADALUPE HERNANDEZ OSEGUERA,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,"ALMACEN JURISDICCIONAL SAN CRISTOBAL DE LAS CASAS, CALLE PÍPILA No. 41 BARRIO DE FÁTIMA",NULL,NULL,NULL
CSSSA017394,ALMACÉN JURISDICCIONAL (TAPACHULA),7,NULL,TAPACHULA,TAPACHULA DE CÓRDOVA Y ORDÓÑEZ,"ALMACENES
",exfarma,2,"EXFARMA, S.A. DE C.V.",DR. JOSE ESAU GUZMAN MORALEZ,LCP. Y AP. CHRISTHIAN ALEJANDRO SOZAYA MEZA,LCI. ANGEL PRIMITIVO VILLATORO MECINAS,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,"Almacen Jurisdiccional Tapachula 3era. AV. SUR No. 19 ESQ. 2da. PRIV. OTE,",NULL,NULL,NULL
CSSSA017411,ALMACÉN JURISDICCIONAL (OCOSINGO),9,NULL,OCOSINGO,OCOSINGO,"ALMACENES
",disur,2,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. GABRIEL AUGUSTO LEÓN JIMENEZ,LAE. JOSE MANUEL BURILLO MONTUFAR,JUAN CARLOS FARRERA TREJO,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN JURISDICCIONAL OCOSINGO,NULL,NULL,NULL
JURISMOTO10,ALMACÉN JURISDICCIONAL (MOTOZINTLA),10,NULL,MOTOZINTLA,MOTOZINTLA,ALMACENES,disur,2,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. CELIN CLEMENTE VARGAS,LIC. RAUL GONZALEZ CASTELLANOS,LIC. MARCO ANTONIO GALINDO PEREZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN JURISDICCIONAL MOTOZINTLA,NULL,NULL,NULL
CSSSA017353,ALMACÉN JURISDICCIONAL (COMITÁN),3,NULL,COMITÁN DE DOMÍNGUEZ,COMITÁN DE DOMÍNGUEZ,"ALMACENES
",exfarma,2,"EXFARMA, S.A. DE C.V.",DR. HENRY JOEL HERNÁNDEZ BALLINAS,LIC. SANDRA GÓMEZ ROMERO,C. JORGE ADRIÁN GARCÍA ARANDA,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN JURISDICCIONAL DE COMITAN,NULL,NULL,NULL
CSSSA017365,ALMACÉN JURISDICCIONAL (VILLAFLORES),4,NULL,VILLAFLORES,VILLAFLORES,"ALMACENES
",exfarma,2,"EXFARMA, S.A. DE C.V.",DR. OSCAR EDGARDO SARMIENTO MACIAS,CP. VICTOR MANUEL SOLIS TOLDEO,LIC. MICHEL ARMANDO ASTUDILLO ARCE,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN JURISDICCIONAL VILLAFLORES,NULL,NULL,NULL
CSSSA017370,ALMACÉN JURISDICCIONAL (PICHUCALCO),5,NULL,PICHUCALCO,PICHUCALCO,"ALMACENES
",disur,2,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. CARLOS GARCÍA LARA,L.A.E. MANUEL POSADA CASTILLA,ENF. LUIS HERNÁNDEZ RUIZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen Jurisdiccional Pichucalco,NULL,NULL,NULL
CSSSA004595,HOSPITAL GENERAL PALENQUE,6,NULL,PALENQUE,PALENQUE,"HOSPITAL GENERAL
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. DANIEL ROBERTO MARTINEZ PÉREZ,LIC. MARÍA PATRICIA GUTIERREZ RODRÍGEZ,LIC. BERTHA ALAVARADO NARVAÉZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,HOSPITAL GENERAL DE PALENQUE; CHIAPAS,NULL,NULL,NULL
CSSSA017731,H. B. C. DE SANTO DOMINGO,6,NULL,OCOSINGO,SANTO DOMINGO,"HOSPITAL INTEGRAL (COMUNITARIO)
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",Dr. Alfredo Hernandez Jimenez,CP Felix Pineda Oporto,Baltazar Ramirez Perez,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen delHospital Sto Domingo,NULL,NULL,NULL
CSSSA019481,H. B. C. DE SAN JUAN CHAMULA,2,NULL,CHAMULA,CHAMULA,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",DRA. SOFIA CARLOTA AGUILAR HERRERA,LIC. CAROL EDMUNDO D ARTOTE GONZALEZ,LIC. LUZ ESTER GÓMEZ AGUILAR,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN DEL HBC CHAMULA,NULL,NULL,NULL
CSSSA017726,H. B. C. DE LARRAINZAR,2,NULL,LARRÁINZAR,LARRÁINZAR,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",Dr. Alam Porfirio Campos Cruz,C. Edgar Ramón Martínez Paniagua,C. Lorena Roque Zepeda,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacén del HBC de Larrainzar,NULL,NULL,NULL
CSSSA006403,HOSPITAL GENERAL TAPACHULA,7,NULL,TAPACHULA,TAPACHULA DE CÓRDOVA Y ORDÓÑEZ,"HOSPITAL GENERAL
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR. MIGUEL ANGEL BARRIOS ANDALUZ,LIC. ALEX HIRAM CAMEY BANECO,LIC. ALEX HIRAM CAMEY BANECO,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,H.G TAPACHULA,NULL,NULL,NULL
CSSSA017504,H. B. C. DEL PORVENIR,10,NULL,EL PORVENIR,EL PORVENIR DE VELASCO SUÁREZ,"HOSPITAL INTEGRAL (COMUNITARIO)
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. OSVALDO BLANCO PEREZ,C.P. BENJAMIN WILFRIDO ROBLEDO MUÑOZ,C.P. BENJAMIN WILFRIDO ROBLEDO MUÑOZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN DEL HBC DEL PORVENIR,NULL,NULL,NULL
CSSSA018781,H. B. C. DE FRONTERA COMALAPA,3,NULL,FRONTERA COMALAPA,FRONTERA COMALAPA,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR.Luis Eduardo Bonifaz Figueroa,C.P. Jose Limberg Altuzar Rodriguez,I.S.C. Alejandro Miguel Monzon Ordoñez,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacén de HBC Frontera Comalapa,NULL,NULL,NULL
CSSSA017516,H. B. C. DE REVOLUCIÓN MEXICANA,4,NULL,VILLA CORZO,REVOLUCIÓN MEXICANA,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR. ROUSSEL DAMIAN PALENCIA,LIC.SURAYA MUÑOZ MORENO,LIC. ERNESTO MORENO RODAS,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN HBC DE REVOLUCION MEXICANA,NULL,NULL,NULL
CSSSA009162,UNIDAD DE ATENCIÓN A LA SALUD MENTAL SAN AGUSTÍN,1,NULL,TUXTLA GUTIÉRREZ,EL JOBO,"HOSPITAL PSIQUIÁTRICO (INCLUYE GRANJAS)
",exfarma,3,"EXFARMA, S.A. DE C.V.",PSIC. VIVIANA JANETH ACEVES CHAVEZ,LIC. BERSAIN RAMIREZ SANTOS,LIC. GLORIA DEL CARMEN RODRIGUEZ CARTAGENA,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,UNIDAD DE ATENCION A LA SALUD MENTAL ´´SAN AGUSTIN ´´,NULL,NULL,NULL
CSSSA019954,HOSPITAL CHIAPAS NOS UNE DR. JESUS GILBERTO GOMEZ MAZA,1,NULL,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,HOSPITAL GENERAL,disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. MARTÍN ALONSO JARA BURGUETE,LIC. JESÚS SILVESTRE ZENDREROS ESPINOSA,LIC. MARIA OLIVIA RIOS LÓPEZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,"HOSPITAL CHIAPAS NOS UNE ""DR. JESUS GILBERTO GOMEZ MAZA""",NULL,NULL,NULL
CSSSA000325,FRANCISCO I. MADERO,10,NULL,AMATENANGO DE LA FRONTERA,FRANCISCO I. MADERO,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000412,H. B. C. DE ÁNGEL ALBINO CORZO,4,NULL,ANGEL ALBINO CORZO,JALTENANGO DE LA PAZ (ANGEL ALBINO CORZO),"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",Dra. Dania Citlali Molina Palacios,Yani Marissa Bravo Sosa,Jesús Moreno salas,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen del HBC Angel A Corzo,NULL,NULL,NULL
CSSSA019242,H. B. C. DE OSTUACÁN,5,NULL,OSTUACÁN,OSTUACÁN,"HOSPITAL INTEGRAL (COMUNITARIO)
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",Dr. Jose Luis Torres Valdes,Lic Jose Guadalupe Perez Hernandez,Sergio perez Salas,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen de HBC Ostuacan,NULL,NULL,NULL
CSSSA008264,HOSPITAL GENERAL YAJALÓN,6,NULL,YAJALÓN,YAJALÓN,"HOSPITAL GENERAL
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. CARLOS RAUL CETINA MOSCOSO,L.A.E. MARIA LUISA MARTINEZ ROBLES,MARTHA EUNICE CONSTANTINO BERMUDEZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,HOSPITAL GENERAL DE YAJALON CHIAPAS,NULL,NULL,NULL
CSSSA003265,H. B. C. DE LAS MARGARITAS,3,NULL,LAS MARGARITAS,LAS MARGARITAS,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",LUIS EDUARDO SIERRA LEÓN,JUAN GABRIEL SALAZAR MORENO,CECILIA LÓPEZ RUÍZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,almacen de la jurisdicción,NULL,NULL,NULL
CSSSA018793,H. B. C. DE CHALCHIHUITÁN,2,NULL,CHALCHIHUITÁN,CHALCHIHUITÁN,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR IVAN RAFAEL TORRES RUIZ,QFB. MARIANO SANCHEZ GOMEZ,QFB. MARIANO SANCHEZ GOMEZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,H. B. C. de Chalchihuitan,NULL,NULL,NULL
CSSSA017521,H. B. C.  DE TAPILULA,5,NULL,TAPILULA,TAPILULA,"HOSPITAL INTEGRAL (COMUNITARIO)
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DRA MANUELLY DE ITZEL CABRERA ABARCA,JORGE MAURICIO ROMÁN ARIZMENDIZ,JORGE MAURICIO ROMÁN ARIZMENDIZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,H. B. C. DE TAPILULA,NULL,NULL,NULL
CSSSA000016,NUEVA REFORMA,7,NULL,ACACOYAGUA,NUEVA REFORMA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000021,FLOR DEL CARMEN,7,NULL,ACACOYAGUA,FLOR DEL CARMEN UNO,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000033,LAS BRISAS,7,NULL,ACACOYAGUA,LAS BRISAS,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000050,VILLA DE ACALA,1,NULL,ACALA,ACALA,"RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000062,CRUZ CHIQUITA,1,NULL,ACALA,CRUZ CHIQUITA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000074,LUIS ECHEVERRÍA ÁLVAREZ,1,NULL,ACALA,LUIS ECHEVERRÍA ÁLVAREZ,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000086,CENTRO DE SALUD ACAPETAHUA,7,NULL,ACAPETAHUA,ACAPETAHUA,"RURAL DE 02 NÚCLEOS BÁSICOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000091,BARRA DE ZACAPULCO,7,NULL,ACAPETAHUA,BARRA ZACAPULCO,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000103,EJIDO LAS MURALLAS,7,NULL,ACAPETAHUA,LAS MURALLAS,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000120,UNIDAD MÉDICA MÓVIL ACUÁTICA (LA LUPE),7,NULL,ACAPETAHUA,LA LUPE,"UNIDAD MÓVIL
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000132,SAN JOSÉ AGUAJAL,7,NULL,ACAPETAHUA,SAN JOSÉ AGUAJAL,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000144,RÍO NEGRO,7,NULL,ACAPETAHUA,RÍO NEGRO,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000156,FRANCISCO VILLA,7,NULL,ACAPETAHUA,FRANCISCO VILLA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000161,LA GRANDEZA,9,NULL,ALTAMIRANO,LA GRANDEZA,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000173,BIENES COMUNALES LA LAGUNA,9,NULL,ALTAMIRANO,LA LAGUNA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000185,SANTA CECILIA EL PEDREGAL,9,NULL,ALTAMIRANO,SANTA CECILIA,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000190,NUEVA GALILEA,9,NULL,ALTAMIRANO,NUEVA GALILEA,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA000202,MORELIA,9,NULL,ALTAMIRANO,MORELIA (VICTÓRICO RODOLFO GRAJALES),"UNIDAD MÓVIL
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
